MONNARI,20200817,2.0400,2.0500,1.9850,2.0300,51953
MOSTALPLC,20200817,8.8400,8.8600,8.8200,8.8600,750
MOSTALWAR,20200817,5.0000,5.0000,4.9300,5.0000,554
MOSTALZAB,20200817,0.8440,0.8500,0.8360,0.8480,25434
MUZA,20200817,2.3200,2.3400,2.3200,2.3400,1200
MWTRADE,20200817,1.9100,1.9500,1.9000,1.9400,2746
NANOGROUP,20200817,3.2000,3.2600,3.0200,3.2000,4999
NETIA,20200817,4.3200,4.3300,4.1200,4.3000,16448
NEUCA,20200817,501.0000,505.0000,498.5000,505.0000,645
NEWAG,20200817,25.5000,26.3000,25.5000,26.2000,2964
NOVATURAS,20200817,7.8500,7.8500,7.8500,7.8500,41
NOVITA,20200817,98.0000,99.0000,98.0000,98.6000,403
NTTSYSTEM,20200817,2.9600,2.9600,2.8700,2.9400,2243
OAT,20200817,19.6500,20.5000,19.1000,19.9500,22109
ODLEWNIE,20200817,5.0200,5.0400,4.9800,4.9800,7186
OEX,20200817,18.0000,19.0000,17.9000,18.4000,13880
OPENFIN,20200817,0.9420,0.9420,0.9000,0.9100,12394
OPONEO.PL,20200817,37.3000,37.5000,36.5000,36.5000,1094
OPTEAM,20200817,25.0000,25.0000,24.8000,25.0000,1850
ORANGEPL,20200817,7.6600,7.6700,7.5250,7.6250,487168
ORCOGROUP,20200817,1.2800,1.3300,1.2800,1.3300,282
ORZBIALY,20200817,10.9000,11.1500,10.8500,11.1500,956
OTLOG,20200817,5.7500,5.7500,5.5000,5.7500,763
OTMUCHOW,20200817,1.3400,1.4000,1.3400,1.4000,1531
PAMAPOL,20200817,1.2900,1.2900,1.2500,1.2500,6054
PANOVA,20200817,10.8000,11.2000,10.7500,11.2000,767
PATENTUS,20200817,1.1200,1.1300,1.1200,1.1300,1047
PBKM,20200817,83.2000,84.0000,82.0000,84.0000,498
PCCEXOL,20200817,6.7800,7.6400,6.4000,7.4200,930316
PCCROKITA,20200817,53.2000,54.6000,53.0000,54.2000,2567
PEKABEX,20200817,11.8500,11.9500,11.8500,11.8500,607
PEKAO,20200817,56.4800,56.8800,55.3600,56.1600,351453
PEMANAGER,20200817,11.9500,11.9500,11.5500,11.5500,2485
PEP,20200817,48.9000,49.4000,46.6000,48.8000,14581
PEPEES,20200817,1.5300,1.5400,1.5300,1.5400,17124
PGE,20200817,6.8420,6.9500,6.7180,6.9500,814936
PGNIG,20200817,5.3200,5.3740,5.2700,5.3000,3620200
PGO,20200817,1.3950,1.3950,1.3750,1.3950,8003
